ID,nom_scientifique,nom_commun,,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris
600,Scyliorhinus canicula,La petite roussette,autres_noms,125,60,70,20,100,,,,"Vit surtout sur les fonds de sables et graviers, chasse principalement la nuit",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COELENBIER Pierre, ZIEMSKI Frédéric, MÜLLER Yves in : DORIS, 18/02/2021 : Scyliorhinus canicula (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/531
601,Scyliorhinus stellaris,La grande roussette,,125,100,120,10,60,,,,"Vit surtout sur les fonds rocheux, activité nocturne. Espece rare.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," SAUGE-MERLE Sandrine, PEAN Michel in : DORIS, 06/12/2022 : Scyliorhinus stellaris (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/518
602,Galeus melastomus,Le chien espagnol,,125,50,90,200,600,,,,Vit sur les fonds sablo-vaseux. Espece profonde.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
603,Ginglymostoma cirratum,Le requin-nourrice,,126,300,350,1,50,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MALIET Vincent in : DORIS, 17/11/2020 : Ginglymostoma cirratum (Bonnaterre, 1788)",https://doris.ffessm.fr/ref/specie/3807
604,Mustelus asterias,L'Emissole tachetée,,127,100,130,10,200,Pres du fond,,,"Vit sur les fonds meubles, sable et gravier, Espece occasionnelle",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SERET Bernard, KUPFER Michel in : DORIS, 10/11/2020 : Mustelus asterias Cloquet, 1821",https://doris.ffessm.fr/ref/specie/1186
605,Mustelus mustelus,L'Emissole lisse,,127,100,120,10,60,Pres du fond,,,Vit sur les fonds rocheux et sableux. Espece occasionnelle,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
606,Mustelus punctulatus,L'Emissole pointillée,,127,120,190,3,200,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
607,Galeorhinus galeus,Le requin Hâ,,127,120,150,10,300,Pres du fond ou en pleine eau,,,Vit sur les fonds sableaux-vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 18/11/2022 : Galeorhinus galeus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/4907
608,Leptocharias smithii,L'Emissole barbue,,128,70,85,5,80,,,,Vis sur fonds meuble et estuaires,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
609,Paragaleus pectoralis,Le milandre jaune,,129,120,140,5,100,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
610,Squalus acanthias,L'aiguillat commun,,130,90,110,10,200,Pres du fond,,,Vit sur fonds meubles,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COURAU Aurelia, HUET Sylvie in : DORIS, 14/11/2020 : Squalus acanthias Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/4909
611,Squalus blainville,L'aiguillat Galludo,,130,80,110,15,70,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
612,Squalus megalops),L'aiguillat à nez court,,130,50,75,30,750,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
613,Centrophorus granulosus,Le squale-chagrin commun,,131,100,150,60,1200,,,,Vit sur fonds vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Centrophorus granulosus Bloch & Schneider, 1801",https://doris.ffessm.fr/ref/specie/4908
614,Centrophorus uyato,Le petit squale chagrin,,131,90,100,50,1400,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
615,Etmopterus spinax,Le sagre commun,,132,40,60,70,2000,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
616,Dalatias licha,Le squale liche,,133,150,180,300,700,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Dalatias licha Bonnaterre, 1788",https://doris.ffessm.fr/ref/specie/4911
617,Somniosus microcephalus,Le laimargue du Groenland,,133,100,140,200,400,,,Chair toxique à l'état frais,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GALLANT Jeffrey, FEY Laurent in : DORIS, 27/03/2021 : Somniosus microcephalus (Bloch et Schneider, 1801)",https://doris.ffessm.fr/ref/specie/865
618,Rhincodon typus,Le requin baleine,,134,1000,1200,0,130,,,,Espece Solitaire,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GALLOIS Franck, RAVEL Corinne, ADER Denis, FEY Laurent, HUET Sylvie in : DORIS, 07/01/2022 : Rhincodon typus Smith, 1828",https://doris.ffessm.fr/ref/specie/836
619,Oxynotus centrina,La centrine,,135,80,100,60,500,,,,"Fonds meubles ou corraligènes, espece profonde",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, GIRARD Pascal in : DORIS, 19/01/2021 : Oxynotus centrina Linné, 1758",https://doris.ffessm.fr/ref/specie/1664
620,Hexanchus griseus,Le requin-griset,,136,400,500,80,1000,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ADER Denis, MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 08/11/2020 : Hexanchus griseus (Bonnaterre, 1788)",https://doris.ffessm.fr
621,Hexanchus nakamurai,Le requin-vache,,136,150,180,0,600,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
622,Heptranchias perlo,Le requin-perlon,,136,120,140,50,400,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Heptranchias perlo Bonnaterre, 1788",https://doris.ffessm.fr/ref/specie/4902
623,Cetorhinus maximus,Le requin pelerin,,137,800,900,0,10,,,,"Espece occasionnelle, saisonniere. En été en surface se nourissant du plancton, en profondeur en hiver",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ADER Denis, HUET Sylvie in : DORIS, 07/01/2022 : Cetorhinus maximus (Gunnerus, 1765)",https://doris.ffessm.fr/ref/specie/522
624,Odontaspis ferox,Le requin feroce,,138,370,400,40,300,,,,En profondeur sur les substrats meubles ou rocheux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COZIC Celine, MALIET Vincent, GIRARD Pascal in : DORIS, 19/01/2021 : Odontaspis ferox Risso, 1810",https://doris.ffessm.fr/ref/specie/4906
625,Carcharias taurus,Le requin taureau,,138,280,320,0,70,,,,Espece essentiellement côtiere,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharias taurus Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/1789
626,Carcharodon carcharias,Le grand requin blanc,,139,640,720,0,100,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, MARAN Vincent, DE MADDALENA Alessandro, KUPFER Michel in : DORIS, 29/11/2020 : Carcharodon carcharias Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1649
627,Lamna nasus,Le requin-taupe commun,,139,250,280,50,300,Pleine eau,,Un cas d’attaque mortelle connu,"Pleine eau, se rencontre parfois pres des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHATEL Paul, GIRARD Pascal in : DORIS, 19/01/2021 : Lamna nasus Bonnaterre, 1788",https://doris.ffessm.fr/ref/specie/4905
628,Isurus oxyrinchus,Le requin mako,,139,300,350,0,740,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Isurus oxyrinchus Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/4903
629,Isurus paucus,Le petit requin taupe,,139,250,300,0,500,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
630,Galeocerdo cuvier,Le requin tigre,,140,450,500,1,300,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, DE MADDALENA Alessandro, BURON Daniel in : DORIS, 19/01/2021 : Galeocerdo cuvier (Péron & Le Sueur, 1822)",https://doris.ffessm.fr/ref/specie/1666
631,Prionace glauca,Le requin peau bleue,,140,250,385,0,400,Pleine eau,,,"Requin du grand large, parfois pres des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, CAPAPE Christian, KUPFER Michel in : DORIS, 27/03/2021 : Prionace glauca (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1660
632,Carcharhinus altimus,Le requin-babosse,,140,250,300,90,300,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
633,Carcharhinus obscurus,Le requin sombre,,140,350,420,0,400,,,Attaques non fatales dans l’hemisphere sud,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, ROCHEFORT Gaël, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus obscurus (Lesueur, 1818)",https://doris.ffessm.fr/ref/specie/4483
634,Carcharhinus galapagensis,Le requin des Galapagos,,140,300,370,0,200,,,"Agressif et territorial, des attaques mortelles",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus galapagensis (Snodgrass & Heller, 1905)",https://doris.ffessm.fr/ref/specie/5090
635,Carcharhinus leucas,Le requin-bouledogue,,140,300,350,0,155,,,Mangeur d’homme,"Côtier, remonte également dans les fleuves",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharhinus leucas (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1801
636,Carcharhinus plumbeus,Le requin gris,,140,240,260,1,400,,,,"Surtout sur fond meuble, parfois pres des rochers",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, JAMME Stéphane in : DORIS, 29/11/2020 : Carcharhinus plumbeus (Nardo, 1827)",https://doris.ffessm.fr/ref/specie/1782
637,Carcharhinus limbatus,Le requin bordé,,140,300,340,0,50,,,Potentiellement aggressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 20/04/2022 : Carcharhinus limbatus (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1665
638,Carcharhinus brachyurus,Le requin cuivre,,140,250,325,0,100,,,Parfois agressif en présence de nourriture,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
639,Carcharhinus brevipinna,Le requin-tisserand,,140,200,300,0,75,,,,Plutôt côtier,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
640,Carcharhinus isodon,Le requin a petites dents,,140,170,200,,,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
641,Carcharhinus longimanus,Le requoin océanique,,140,300,400,0,40,Souvent en surface,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," EPAILLY Olivier, MALIET Vincent, ROCHEFORT Gaël in : DORIS, 17/02/2021 : Carcharhinus longimanus (Poey, 1861)",https://doris.ffessm.fr/ref/specie/976
642,Carcharhinus falciformis,Le requin soyeux,,140,300,350,0,50,,,Parfois agressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PRADEAU Christophe, BOURGOIS Jean-Sébastien, MÜLLER Yves in : DORIS, 21/01/2021 : Carcharhinus falciformis (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/4524
643,Carcharhinus signatus,Le requin de nuit,,140,200,280,90,280,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
